Customer,Birth_Year,Highest_Education,Marital_Status,Household_Income ,Kid_home,Teen_home,Enrollment_Date,Last_purchase,AmountFruits,AmountMeat,AmountFish,AmountSweet,AmountGold,Deals,Web,Catalog,Store,WebVisits,ad1,ad2,ad3,ad4,ad5,ad6,Complain,Location
1379,1992,Master,Together,"$42,670.00 ",0,0,4/27/2013,12,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,0,SA
1381,1982,PhD,Single,"$38,513.00 ",1,0,1/28/2014,20,3,115,16,0,18,5,6,1,5,8,0,0,0,0,0,1,0,SP
1384,1992,Basic,Married,"$17,256.00 ",1,0,11/23/2013,10,4,14,8,8,22,2,2,1,2,8,0,0,1,0,0,0,0,US
1386,1967,Graduation,Together,"$32,474.00 ",1,1,5/11/2014,0,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,AUS
1388,1975,Graduation,Single,"$33,249.00 ",1,0,2/20/2013,11,10,21,19,14,42,2,2,1,3,6,0,0,0,0,0,0,0,AUS
1399,1958,Graduation,Married,"$72,905.00 ",0,0,1/21/2014,52,114,445,181,165,203,1,3,7,9,1,1,0,0,0,0,0,0,SP
1402,1954,Master,Married,"$66,991.00 ",0,0,9/11/2012,1,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER
1403,1975,2n Cycle,Together,"$34,984.00 ",1,1,9/6/2012,40,4,15,3,5,3,2,1,0,3,7,0,0,0,0,0,0,0,SP
1406,1975,Graduation,Single,"$53,201.00 ",1,1,2/12/2013,49,7,81,20,0,27,8,6,3,5,7,0,0,0,0,0,0,0,SP
1407,1986,Basic,Married,"$20,425.00 ",1,0,10/29/2012,5,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER
1409,1951,Graduation,Together,"$40,689.00 ",0,1,3/18/2013,69,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,US
1411,1952,Graduation,Divorced,"$82,623.00 ",0,0,11/10/2013,58,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,0,SP
1419,1950,Graduation,Together,"$34,026.00 ",1,1,8/5/2013,11,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0,SP
1446,1956,Master,Single,"$86,424.00 ",0,0,4/5/2014,12,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,SA
1448,1963,Master,Married,"$33,562.00 ",1,2,6/25/2014,33,12,12,0,3,3,3,2,0,4,4,0,0,0,0,0,0,0,IND
1453,1943,PhD,Widow,"$57,513.00 ",0,0,7/6/2013,59,40,183,52,20,30,2,9,3,13,6,0,0,0,0,0,0,0,SP
1456,1979,Graduation,Single,"$60,474.00 ",0,1,4/1/2013,25,199,303,234,9,170,7,10,2,12,7,0,0,0,0,0,0,0,IND
1458,1982,Master,Married,"$21,059.00 ",1,0,1/7/2014,40,3,19,3,3,8,3,3,0,3,6,0,0,0,0,0,0,0,SP
1459,1966,PhD,Married,"$69,063.00 ",0,1,11/7/2012,16,35,124,69,8,26,1,5,3,5,3,0,0,0,0,0,0,0,SP
1463,1958,Graduation,Single,"$45,160.00 ",1,1,3/29/2014,9,2,5,3,0,3,1,1,0,2,7,0,0,0,0,0,0,0,AUS
1473,1960,2n Cycle,Single,"$47,823.00 ",0,1,7/23/2013,0,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,CA
1497,1952,Graduation,Single,"$47,958.00 ",0,1,1/19/2013,8,11,88,15,3,22,2,6,3,5,5,0,0,0,0,0,0,0,SA
1501,1982,PhD,Married,"$160,803.00 ",0,0,8/4/2012,21,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,0,US
1502,1983,Graduation,Together,"$28,427.00 ",1,0,3/21/2013,67,3,19,3,3,6,2,2,0,3,8,0,0,0,0,0,0,0,SP
1503,1976,PhD,Together,"$162,397.00 ",1,1,6/3/2013,31,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,SP
1506,1975,Graduation,Single,"$42,160.00 ",1,1,6/28/2013,26,9,45,3,15,20,4,2,1,4,6,0,0,0,0,0,1,0,SP
1515,1975,Master,Together,"$34,176.00 ",0,1,1/22/2014,9,2,7,4,2,2,1,1,0,3,3,0,0,0,0,0,0,0,CA
1518,1965,Master,Married,"$62,694.00 ",1,1,6/17/2013,29,6,157,25,91,91,5,9,3,7,7,0,0,0,0,0,0,0,SP
1519,1972,PhD,Single,"$38,578.00 ",1,1,6/22/2013,2,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP
1523,1973,Graduation,Married,"$59,041.00 ",1,1,5/7/2014,25,2,15,2,2,6,2,2,0,4,5,0,0,0,0,0,0,0,SA
1524,1983,2n Cycle,Single,"$81,698.00 ",0,0,3/1/2013,1,45,115,30,160,45,1,8,2,5,5,1,0,0,0,0,1,0,SP
1542,1975,Graduation,Single,"$56,243.00 ",1,2,12/30/2013,26,0,35,4,3,7,6,4,2,8,5,0,0,0,0,0,0,0,US
1544,1967,Master,Divorced,"$81,380.00 ",0,0,12/22/2012,51,68,689,224,68,103,1,4,2,10,2,0,0,0,0,0,0,0,CA
1570,1951,PhD,Together,"$69,702.00 ",0,1,2/19/2013,8,9,240,50,19,57,2,7,7,10,4,0,0,0,0,0,0,0,SP
1577,1946,Graduation,Married,"$78,569.00 ",0,0,2/19/2014,14,79,622,207,175,95,1,4,6,4,1,0,0,0,0,1,1,0,SP
1581,1980,Graduation,Married,"$37,406.00 ",1,0,10/10/2013,18,0,8,2,2,3,1,1,0,2,8,0,0,0,0,0,1,0,SP
1592,1970,Graduation,Married,"$90,765.00 ",0,0,1/24/2014,25,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,0,CA
1600,1965,Master,Married,"$56,962.00 ",2,1,10/11/2013,60,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,0,SA
1606,1971,Graduation,Together,"$38,590.00 ",1,0,5/15/2013,65,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,SA
1618,1965,Graduation,Together,"$56,046.00 ",0,0,1/2/2013,9,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,1,0,GER
1619,1956,Graduation,Married,"$90,369.00 ",0,0,4/28/2014,2,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP
1626,1973,PhD,Divorced,"$35,860.00 ",1,1,5/19/2014,37,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,1,0,SA
1628,1971,Graduation,Together,"$71,796.00 ",0,0,10/24/2013,54,21,311,167,75,32,1,9,3,4,4,0,0,0,0,0,0,0,SA
1630,1979,Graduation,Single,"$61,825.00 ",0,1,8/7/2013,56,50,100,55,30,27,1,4,2,8,4,0,0,0,0,0,0,0,SP
1631,1965,PhD,Together,"$65,220.00 ",0,0,9/3/2012,3,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER
1640,1954,Graduation,Divorced,"$64,587.00 ",1,1,6/22/2014,49,0,16,0,6,20,2,1,1,4,3,0,0,0,0,0,0,0,SP
1646,1972,Basic,Married,"$25,224.00 ",1,0,3/16/2014,36,9,12,11,2,8,2,1,1,3,3,0,0,0,0,0,0,0,CA
1650,1960,Master,Married,"$81,843.00 ",0,0,4/22/2013,13,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,0,0,SP
1676,1975,Graduation,Married,"$43,057.00 ",0,1,10/30/2013,30,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,SP
1685,1967,PhD,Together,"$62,981.00 ",0,0,3/17/2013,21,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0,0,CA
1710,1978,Graduation,Single,"$30,168.00 ",1,0,3/7/2013,51,20,66,0,12,27,7,6,1,4,9,0,0,0,0,0,0,0,SP
1715,1978,Graduation,Together,"$25,851.00 ",1,0,2/11/2013,45,4,18,7,5,5,2,2,0,3,7,0,0,0,0,0,0,0,AUS
1717,1988,Graduation,Single,"$39,747.00 ",1,0,4/13/2014,43,15,93,20,13,52,3,5,1,4,8,0,0,0,0,0,0,0,SA
1726,1970,Graduation,Single,"$22,585.00 ",0,0,3/18/2013,23,9,15,13,2,39,1,1,1,2,9,0,0,1,0,0,1,0,SP
1729,1961,PhD,Together,"$66,426.00 ",0,1,10/2/2013,14,24,97,32,24,157,2,3,5,10,6,0,0,0,0,0,0,0,SP
1734,1968,PhD,Together,"$40,706.00 ",2,1,1/17/2013,37,0,11,4,2,5,4,3,0,4,7,0,0,0,0,0,0,0,SA
1740,1944,Graduation,Married,"$55,956.00 ",0,0,4/7/2014,22,38,104,50,9,38,2,7,3,4,4,0,0,0,1,0,0,0,SP
1744,1965,Basic,Single,"$23,529.00 ",0,1,1/7/2013,67,7,13,3,2,20,1,1,1,2,6,0,0,0,0,0,0,0,SP
1763,1988,Graduation,Together,"$87,679.00 ",0,0,7/27/2013,62,172,815,97,148,33,1,7,11,10,4,1,0,1,0,1,1,0,CA
1772,1975,PhD,Married,"$79,174.00 ",0,0,1/11/2013,2,37,518,193,92,129,1,5,6,7,2,1,0,0,0,1,1,0,CA
1773,1978,2n Cycle,Married,"$12,393.00 ",0,0,12/4/2012,38,6,15,11,7,13,1,2,0,3,9,0,0,0,0,0,0,0,SA
1777,1980,Basic,Married,"$25,965.00 ",0,0,9/7/2012,29,2,11,41,7,11,1,2,0,3,8,0,0,0,0,0,0,0,SP
1802,1971,Graduation,Married,"$64,795.00 ",0,1,1/17/2013,23,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,0,SP
1818,1971,PhD,Together,"$29,732.00 ",1,0,3/25/2014,23,0,8,0,1,4,1,2,0,2,9,0,0,0,0,0,0,0,CA
1826,1970,Graduation,Divorced,"$84,835.00 ",0,0,6/16/2014,0,104,379,111,189,218,1,4,4,6,1,0,0,0,0,0,1,0,SP
1829,1961,PhD,Divorced,"$54,959.00 ",0,1,1/19/2013,55,0,60,0,0,24,3,9,5,4,7,0,0,0,1,0,1,0,SP
1839,1974,Graduation,Single,"$43,322.00 ",0,0,4/21/2014,25,7,48,10,2,18,1,3,0,4,7,0,0,0,0,0,0,0,IND
1857,1952,Graduation,Single,"$47,139.00 ",1,1,3/6/2014,2,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP
1859,1972,Master,Married,"$75,251.00 ",0,0,8/27/2012,34,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,1,0,GER
1867,1957,Graduation,Single,"$64,849.00 ",0,0,11/13/2012,42,48,350,94,84,108,1,9,3,6,5,0,0,0,0,0,1,0,SP
1876,1990,Graduation,Married,"$18,929.00 ",0,0,2/16/2013,15,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,0,0,IND
1880,1959,PhD,Together,"$53,537.00 ",1,1,1/30/2014,17,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,IND
1891,1980,Master,Divorced,"$78,789.00 ",0,0,8/8/2012,12,50,850,21,83,83,1,4,6,5,2,0,0,0,0,0,1,0,SP
1907,1950,Master,Divorced,"$63,120.00 ",0,1,9/28/2012,53,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,1,0,SP
1911,1987,Graduation,Together,"$67,430.00 ",0,0,9/5/2012,6,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER
1915,1951,PhD,Married,"$78,939.00 ",0,0,12/12/2013,57,115,243,150,0,205,1,8,5,6,3,0,0,0,0,0,0,0,GER
1920,1972,Graduation,Married,"$40,321.00 ",1,1,7/29/2013,59,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,SP
1927,1973,2n Cycle,Together,"$69,401.00 ",0,1,3/23/2014,41,27,159,58,8,39,4,4,4,5,2,0,0,0,0,0,0,0,GER
1940,1986,Graduation,Married,"$25,252.00 ",1,0,7/12/2013,26,3,4,2,2,6,1,1,0,2,8,0,0,0,0,0,0,0,AUS
1945,1962,Graduation,Married,"$71,434.00 ",0,1,9/18/2013,4,36,217,172,96,168,3,7,4,7,4,1,0,0,1,0,0,0,SP
1964,1951,Graduation,Together,"$86,610.00 ",0,0,9/5/2013,66,107,768,33,196,53,1,5,6,6,2,0,0,0,0,0,0,0,SP
1968,1971,Graduation,Widow,"$45,684.00 ",1,0,12/2/2013,37,1,5,10,0,7,1,1,0,2,7,0,0,0,0,0,0,0,SA
1970,1968,Master,Together,"$34,053.00 ",0,1,9/10/2012,14,0,21,7,0,12,1,3,0,3,8,0,0,0,0,0,0,0,SP
1987,1987,Basic,Single,"$21,063.00 ",1,0,9/25/2013,34,10,11,19,3,15,2,2,0,3,6,0,0,0,0,0,0,0,SP
1991,1967,Graduation,Together,"$44,931.00 ",0,1,1/18/2014,0,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,SP
1992,1964,Graduation,Married,"$60,597.00 ",0,1,1/1/2014,2,0,257,32,16,66,4,2,2,8,7,1,0,0,0,0,1,0,SP
1993,1949,PhD,Married,"$58,607.00 ",0,1,12/23/2012,63,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,0,US
1994,1983,Graduation,Married,,1,0,11/15/2013,11,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,US
2004,1969,Graduation,Single,"$72,679.00 ",0,1,9/18/2013,65,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,SP
2021,1975,Graduation,Married,"$61,456.00 ",0,1,3/27/2013,47,76,384,84,192,89,4,6,10,13,4,0,0,0,0,0,0,0,SP
2036,1973,PhD,Together,"$57,906.00 ",0,1,6/11/2013,29,11,119,10,3,15,3,4,2,8,4,0,0,0,0,0,0,0,IND
2055,1973,PhD,Divorced,"$35,860.00 ",1,1,5/19/2014,37,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,0,0,SP
2061,1955,Graduation,Married,"$50,737.00 ",0,1,5/11/2013,61,0,11,0,0,10,1,2,0,4,6,0,0,0,1,0,0,0,SP
2066,1949,Graduation,Together,"$38,823.00 ",0,1,8/30/2012,56,0,11,2,8,23,1,2,1,3,6,0,0,0,0,0,0,0,SP
2072,1969,PhD,Together,"$53,374.00 ",0,1,8/16/2012,34,10,101,13,10,34,6,4,2,9,9,0,0,1,0,0,1,0,CA
2075,1969,Graduation,Married,"$72,460.00 ",0,0,11/14/2013,56,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,SA
2079,1947,2n Cycle,Married,"$81,044.00 ",0,0,12/27/2013,0,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,0,US
2098,1969,PhD,Married,"$33,581.00 ",2,0,1/8/2013,38,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SP
2109,1990,Graduation,Single,"$96,843.00 ",0,0,4/23/2013,60,71,951,40,17,17,1,6,11,10,2,0,0,0,0,1,1,0,SP
2114,1946,PhD,Single,"$82,800.00 ",0,0,11/24/2012,23,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,1,0,US
2115,1957,Graduation,Together,"$50,116.00 ",1,1,6/20/2014,68,0,10,0,0,2,2,1,0,4,5,0,0,0,1,0,0,0,GER
2118,1964,2n Cycle,Married,"$62,905.00 ",0,1,9/10/2013,68,75,96,119,107,59,3,7,2,8,4,0,0,0,0,0,0,0,SP
2130,1982,Graduation,Together,"$45,203.00 ",2,0,3/23/2014,4,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA
2131,1959,PhD,Divorced,"$62,859.00 ",0,1,12/30/2012,37,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,SP
2139,1975,Master,Married,"$7,500.00 ",1,0,10/2/2013,19,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,AUS
2154,1971,Graduation,Widow,"$30,372.00 ",1,1,12/25/2012,33,0,12,7,3,7,3,2,0,3,7,0,0,0,0,0,0,0,SP
2156,1955,PhD,Married,"$22,554.00 ",1,1,11/3/2012,38,0,10,0,0,4,4,2,0,4,5,0,0,0,0,0,0,0,SP
2157,1972,Graduation,Together,"$26,290.00 ",1,1,1/12/2013,49,8,16,11,5,22,4,2,0,4,6,0,0,0,0,0,0,0,CA
2162,1976,Graduation,Married,"$56,939.00 ",0,1,9/18/2013,19,34,103,90,29,49,2,3,3,10,3,0,0,0,0,0,0,0,SP
2166,1960,2n Cycle,Widow,"$46,779.00 ",1,1,7/12/2013,55,1,3,0,0,7,1,0,1,2,4,0,0,0,0,0,0,0,SA
2173,1952,Graduation,Widow,"$40,049.00 ",0,1,10/16/2013,23,6,7,0,3,3,1,1,0,3,6,0,0,0,0,0,0,0,SP
2174,1954,Graduation,Single,"$46,344.00 ",1,1,3/8/2014,38,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,US
2176,1972,Graduation,Married,"$80,134.00 ",1,0,5/20/2013,40,16,272,104,0,80,2,5,3,6,6,1,0,0,1,1,1,0,SA
2181,1970,Graduation,Married,"$70,617.00 ",0,0,6/23/2013,45,61,753,40,46,27,1,3,3,7,2,0,0,0,0,0,0,0,SP
2186,1977,2n Cycle,Together,"$82,326.00 ",0,0,3/10/2014,30,142,754,159,81,183,1,5,10,6,2,1,0,0,1,1,1,0,SP
2217,1975,2n Cycle,Married,"$37,284.00 ",1,1,3/29/2013,46,1,2,2,1,6,1,0,0,3,6,0,0,0,0,0,0,0,IND
2223,1965,2n Cycle,Divorced,"$64,176.00 ",0,1,8/3/2012,52,33,249,64,116,149,8,8,9,8,6,0,0,0,0,0,0,0,SP
2225,1977,Graduation,Divorced,"$82,582.00 ",0,0,6/7/2014,54,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,1,0,AUS
2245,1969,Master,Married,"$43,641.00 ",1,1,4/22/2013,50,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,0,SP
2253,1990,Graduation,Married,"$18,929.00 ",0,0,2/16/2013,15,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,0,0,SP
2256,1973,Master,Married,"$27,159.00 ",1,1,3/29/2014,33,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,SP
2261,1969,Graduation,Married,"$26,304.00 ",1,0,6/23/2013,5,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER
2281,1970,Graduation,Single,"$33,697.00 ",1,0,9/15/2013,34,3,7,0,3,11,1,1,0,2,7,0,0,1,0,0,0,0,GER
2285,1954,Master,Together,"$36,634.00 ",0,1,5/28/2013,0,9,76,4,3,30,3,5,2,5,7,0,0,0,0,0,0,0,SA
2286,1962,Graduation,Single,"$50,785.00 ",1,1,9/10/2013,27,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,CA
2295,1954,PhD,Married,"$62,670.00 ",0,1,2/2/2014,57,30,92,80,46,38,1,5,3,13,3,0,0,0,0,0,0,0,SA
2296,1975,Master,Married,"$37,368.00 ",1,0,12/16/2013,4,2,11,2,2,10,1,1,0,2,6,0,0,1,0,0,0,0,SP
2308,1954,Graduation,Married,"$46,734.00 ",0,1,11/18/2012,40,5,137,26,23,29,2,6,1,5,7,0,0,0,0,0,0,0,SP
2315,1960,Graduation,Divorced,"$58,401.00 ",0,1,4/20/2014,55,0,11,17,29,29,1,1,2,2,4,0,0,0,0,0,0,0,SP
2324,1972,Graduation,Together,"$77,044.00 ",0,1,10/27/2013,12,38,242,50,34,76,2,7,11,11,4,0,0,1,0,0,0,0,SP
2326,1990,Graduation,Married,"$18,929.00 ",0,0,2/16/2013,15,0,8,23,4,18,1,1,0,4,6,0,0,0,0,0,0,0,SP
2345,1982,PhD,Together,"$70,038.00 ",0,0,10/25/2013,54,54,348,71,54,130,1,4,4,8,2,0,0,0,0,0,0,0,AUS
2371,1972,Graduation,Married,"$33,622.00 ",1,1,4/13/2013,22,1,22,3,4,12,3,2,0,4,7,0,0,0,0,0,0,0,GER
2379,1953,Graduation,Single,"$69,267.00 ",0,0,9/22/2012,31,44,499,95,73,146,2,3,4,5,7,0,0,0,0,0,1,0,SA
2387,1952,Master,Together,"$43,776.00 ",1,1,2/3/2013,9,2,71,3,2,20,6,5,2,4,8,0,0,0,0,0,1,0,SA
2392,1972,Graduation,Married,"$40,321.00 ",1,1,7/29/2013,59,4,21,6,0,27,2,3,0,3,7,0,0,0,0,0,0,0,SP
2404,1976,Graduation,Married,"$53,359.00 ",1,1,5/27/2013,4,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US
2406,1949,Graduation,Together,"$54,591.00 ",0,1,8/5/2013,63,4,94,12,9,24,3,6,2,8,5,0,0,0,0,0,0,0,AUS
2407,1982,Graduation,Married,"$69,109.00 ",0,0,11/9/2012,10,25,459,124,29,95,1,6,6,7,4,0,0,0,0,1,1,0,US
2408,1976,Graduation,Married,"$58,597.00 ",1,1,11/20/2012,20,0,184,10,28,21,12,7,4,9,7,0,0,0,0,0,0,0,IND
2410,1969,Graduation,Single,"$81,657.00 ",0,0,1/22/2014,69,40,425,158,60,50,1,3,4,8,1,0,0,0,0,0,0,0,SP
2426,1964,PhD,Divorced,"$78,825.00 ",0,0,9/14/2012,35,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,1,0,SP
2428,1970,Graduation,Married,"$28,164.00 ",1,0,5/4/2013,23,18,26,11,8,12,3,2,0,4,7,0,0,0,0,0,0,0,GER
2429,1954,Graduation,Divorced,"$72,071.00 ",0,1,2/14/2013,4,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA
2437,1989,Graduation,Married,,0,0,6/3/2013,69,138,461,60,30,61,1,6,5,12,3,1,0,0,1,0,0,0,SP
2452,1971,Graduation,Together,"$34,600.00 ",1,1,1/1/2013,8,33,60,8,3,15,5,5,2,5,8,0,0,0,0,0,1,0,SP
2457,1975,Basic,Married,"$30,801.00 ",0,1,10/26/2012,23,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,SP
2471,1965,Graduation,Married,"$61,482.00 ",0,0,6/27/2014,39,58,68,16,66,43,1,3,2,6,2,0,0,0,0,0,0,0,SA
2478,1973,Graduation,Married,"$25,410.00 ",1,0,8/31/2013,48,2,4,13,13,4,1,1,0,4,4,0,0,0,0,0,0,0,SP
2493,1966,Graduation,Married,"$61,286.00 ",0,1,8/2/2013,34,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,GER
2495,1974,Master,Married,"$83,891.00 ",0,1,6/20/2014,24,38,350,111,85,15,1,4,7,10,1,0,0,0,0,0,0,0,SP
2499,1958,2n Cycle,Single,"$75,342.00 ",0,1,5/6/2013,38,97,97,21,118,26,1,5,2,10,4,0,0,0,0,0,0,0,SP
2518,1986,2n Cycle,Together,"$20,491.00 ",0,0,1/25/2013,16,4,5,4,2,10,1,0,1,2,7,0,0,0,0,0,0,0,GER
2521,1971,Master,Married,"$35,178.00 ",1,0,1/10/2013,10,1,13,2,2,18,1,1,1,2,7,0,0,1,0,0,1,0,SP
2525,1974,PhD,Married,"$38,410.00 ",0,0,9/14/2012,65,64,123,116,64,14,2,5,2,9,6,0,0,0,0,0,1,0,CA
2534,1953,Graduation,Married,"$37,716.00 ",0,1,4/21/2014,4,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS
2535,1978,Master,Married,"$88,097.00 ",1,0,8/18/2012,24,0,480,0,126,75,1,6,5,8,9,1,0,0,1,1,1,0,SP
2541,1976,Graduation,Married,"$24,027.00 ",1,0,6/9/2013,7,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP
2544,1951,Master,Divorced,"$57,530.00 ",0,1,10/12/2013,68,1,27,6,7,1,1,1,1,4,1,0,0,0,0,0,0,0,IND
2546,1977,2n Cycle,Single,"$31,878.00 ",0,1,6/22/2014,7,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP
2552,1955,PhD,Single,"$55,521.00 ",1,2,10/22/2013,11,0,26,0,0,4,9,6,3,6,7,0,0,0,1,0,1,0,SP
2557,1970,Master,Single,"$29,548.00 ",1,0,8/29/2013,52,1,6,3,1,11,1,1,1,2,4,0,0,1,0,0,0,0,SP
2561,1966,Graduation,Single,"$63,810.00 ",0,1,11/11/2012,45,12,253,16,12,101,4,4,3,12,8,0,0,0,1,0,0,0,GER
2565,1955,Master,Divorced,"$70,638.00 ",0,0,6/1/2013,69,12,215,16,12,63,1,4,5,10,3,0,0,0,1,0,0,0,SA
2569,1987,Graduation,Married,"$17,323.00 ",0,0,10/10/2012,38,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,US
2570,1968,Graduation,Together,"$56,534.00 ",0,1,7/23/2013,35,7,61,10,0,46,4,10,4,7,8,0,1,0,1,0,1,0,SP
2574,1977,PhD,Married,"$61,996.00 ",0,1,1/31/2013,27,12,144,0,0,24,3,6,4,8,5,1,1,0,1,0,1,0,SP
2587,1972,PhD,Married,"$29,791.00 ",1,0,5/15/2014,21,0,6,0,0,0,2,2,0,3,5,0,0,0,0,0,0,0,AUS
2589,1972,Graduation,Divorced,"$26,759.00 ",1,0,2/7/2014,65,3,16,8,5,2,2,2,1,3,6,0,0,0,0,0,0,0,AUS
2591,1959,Graduation,Widow,"$76,320.00 ",0,1,6/22/2014,49,35,214,69,53,35,2,6,3,4,2,0,0,0,0,0,0,0,US
2611,1959,Master,Together,"$82,576.00 ",0,0,8/1/2012,66,55,445,168,18,18,1,2,4,12,1,0,0,0,0,1,0,0,SA
2612,1987,Graduation,Married,"$75,794.00 ",0,0,12/24/2013,33,160,625,63,32,48,1,7,5,12,3,1,0,0,0,0,0,0,SA
2613,1960,Master,Married,"$54,197.00 ",0,1,4/3/2014,16,6,37,6,13,13,2,1,3,6,1,0,0,0,0,0,0,0,SP
2620,1974,PhD,Married,"$34,596.00 ",1,0,4/13/2013,48,0,2,0,0,7,1,1,0,2,8,0,0,0,0,0,1,0,SA
2625,1954,2n Cycle,Single,"$42,607.00 ",0,1,11/17/2013,30,29,56,30,32,47,2,3,2,7,3,0,0,0,0,0,0,0,SA
2631,1982,Graduation,Together,"$71,853.00 ",0,0,5/8/2013,29,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,0,SP
2632,1954,Graduation,Married,"$50,501.00 ",1,1,6/18/2013,10,0,38,13,0,152,7,5,4,4,6,0,0,1,0,0,1,0,IND
2634,1979,Master,Single,"$16,653.00 ",1,0,4/18/2014,10,7,31,15,4,7,3,2,1,3,6,0,0,0,0,0,1,0,SP
2639,1966,Graduation,Single,"$43,602.00 ",1,1,1/10/2014,45,5,12,10,3,19,3,3,1,2,6,0,0,0,0,0,0,0,SA
2656,1971,Graduation,Divorced,"$40,851.00 ",1,1,2/21/2013,63,1,7,0,4,24,1,1,1,2,7,0,0,0,0,0,0,0,CA
2666,1972,Master,Married,"$76,234.00 ",0,1,2/6/2014,21,50,167,130,0,41,1,8,3,11,3,0,0,0,1,0,0,0,CA
2669,1993,Graduation,Single,"$74,293.00 ",0,0,5/4/2014,66,152,335,93,91,81,1,5,4,6,2,0,0,0,0,0,0,0,SP
2677,1956,Graduation,Together,"$46,097.00 ",0,1,3/31/2013,11,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,SA
2678,1990,Graduation,Single,"$34,412.00 ",1,0,2/13/2013,62,12,50,4,36,55,3,5,0,3,9,0,0,0,0,0,0,0,AUS
2681,1984,2n Cycle,Married,"$65,370.00 ",0,0,8/1/2013,1,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP
2683,1969,Graduation,Married,"$52,413.00 ",0,2,2/2/2013,56,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,CA
2686,1969,Basic,Together,"$22,390.00 ",0,0,10/21/2013,49,1,4,15,1,5,1,1,0,2,7,0,0,0,0,0,0,0,AUS
